kuerzel;nr;bezeichnung;kassenart;preiskchpraxis;preiskchgewerbe;preiszepraxis;preiszegewerbe;preiskfopraxis;preiskfogewerbe;preiskbpraxis;preiskbgewerbe;preispapraxis;preispagewerbe
10;10;Modell;0;0;0;7,33;7,72;7,33;7,72;7,33;7,72;0;0
15;15;Modell UKPS;0;0;0;0;0;0;0;7,33;7,72;0;0
18;18;Modell bei Implantatversorgung;0;0;0;7,33;7,72;0;0;7,33;7,72;0;0
21;21;Doublieren eines Modells;0;0;0;17,18;18,08;17,18;18,08;17,18;18,08;0;0
22;22;Platzhalter einfügen;0;0;0;15,52;16,34;0;0;15,52;16,34;0;0
23;23;Verwendung von Kunststoff;0;0;0;15,52;16,34;0;0;15,52;16,34;0;0
24;24;Galvanisieren;0;0;0;15,52;16,34;0;0;15,52;16,34;0;0
25;25;Doublieren eines Modells UKPS;0;0;0;0;0;0;0;17,18;18,08;0;0
30;30;Set-up je Segment;0;0;0;11,08;11,66;11,08;11,66;11,08;11,66;0;0
51;51;Sägemodell;0;0;0;17,28;18,19;0;0;17,28;18,19;0;0
52;52;Einzelstumpfmodell;0;0;0;17,28;18,19;0;0;17,28;18,19;0;0
53;53;Modell nach Überabdruck;0;0;0;17,28;18,19;0;0;17,28;18,19;0;0
54;54;Set-up Modell für KFO;0;0;0;12,73;13,4;12,73;13,4;12,73;13,4;0;0
55;55;Fräsmodell;0;0;0;11,76;12,38;0;0;11,76;12,38;0;0
60;60;Zahnkranz;0;0;0;5,74;6,04;0;0;5,74;6,04;0;0
70;70;Zahnkranz sockeln;0;0;0;6,08;6,4;6,08;6,4;6,08;6,4;0;0
111;111;Modellpaar trimmen;0;0;0;9,96;10,48;9,96;10,48;9,96;10,48;0;0
112;112;Fixator;0;0;0;9,55;10,05;9,55;10,05;9,55;10,05;0;0
115;115;Fixator UKPS;0;0;0;0;0;0;0;9,55;10,05;0;0
120;120;Mittelwertartikulator;0;0;0;10,77;11,34;10,77;11,34;10,77;11,34;0;0
125;125;Mittelwertartikulator UKPS;0;0;0;0;0;0;0;10,77;11,34;0;0
128;128;Mittelwertartikulator bei Implantatversorgung;0;0;0;10,77;11,34;0;0;10,77;11,34;0;0
130;130;Modellpaar sockeln;0;0;0;26,72;28,13;26,72;28,13;26,72;28,13;0;0
201;201;Basis für Vorbissnahme;0;0;0;9,97;10,49;0;0;9,97;10,49;0;0
202;202;Basis für Konstruktionsbiss;0;0;0;10;10,53;10;10,53;10;10,53;0;0
205;205;Vorbereiten Bissgabel UKPS;0;0;0;0;0;0;0;9,97;10,49;0;0
211;211;Individueller Löffel;0;0;0;24,83;26,14;0;0;24,83;26,14;0;0
212;212;Funktionslöffel;0;0;0;24,83;26,14;0;0;24,83;26,14;0;0
213;213;Basis für Bissregistrierung;0;0;0;24,83;26,14;24,83;26,14;24,83;26,14;0;0
214;214;Basis für Stützstiftregistrierung;0;0;0;24,35;25,63;0;0;24,35;25,63;0;0
215;215;Basis für Aufstellung;0;0;0;24,83;26,14;0;0;24,83;26,14;0;0
216;216;Basis für Bissregistr. bei Implantatversorgung;0;0;0;24,35;25,63;0;0;24,35;25,63;0;0
217;217;Individueller Löffel UKPS;0;0;0;0;0;0;0;24,35;25,63;0;0
218;218;Basis für Aufstellung bei Implantatversorgung;0;0;0;24,35;25,63;0;0;24,35;25,63;0;0
220;220;Bisswall;0;0;0;7,23;7,61;7,23;7,61;7,23;7,61;0;0
228;228;Bisswall bei Implantatversorgung;0;0;0;7,23;7,61;0;0;7,23;7,61;0;0
230;230;Registrierplatte und -stift auf Basen;0;0;0;32,23;33,93;0;0;32,23;33,93;0;0
240;240;Übertragungskappe Kunststoff/Metall;0;0;0;27,61;29,06;0;0;27,61;29,06;0;0
310;310;Provisorische Krone/Brückenglied;0;0;0;35,52;37,39;0;0;35,52;37,39;0;0
320;320;Formteil;0;0;0;20;21,05;0;0;20;21,05;0;0
