BEL_NR;LEIST_BEZ;PL_EUR;GL_EUR
0010;Modell;6,02;6,34
0018;Modell bei Implantatversorgung;6,02;6,34
0021;Doublieren;12,74;13,41
0022;Platzhalter einfügen;12,74;13,41
0023;Verwendung von Kunststoff;12,74;13,41
0024;Galvanisieren;12,74;13,41
0030;Set-up ;8,36;8,80
0051;Stumpfmodell/Sägemodell;9,65;10,16
0052;Stumpfmodell/Einzelstumpfmodell;9,65;10,16
0053;Stumpfmodell/Modell nach Überabdruck;9,65;10,16
0054;Stumpfmodell/Set-up Modell;9,65;10,16
0055;Stumpfmodell/Fräsmodell;9,65;10,16
0060;Zahnkranz;4,90;5,16
0070;Zahnkranz sockeln;5,17;5,44
0111;Modellpaar trimmen;9,17;9,65
0112;Fixator;7,83;8,24
0120;Mittelwertartikulator;8,84;9,31
0128;Mittelwertartikulator bei Implantatvers.;8,84;9,31
0130;Modellpaar sockeln;20,44;21,52
0201;Basis für Vorbissnahme;8,17;8,60
0202;Basis für Konstruktionsbiss;6,98;7,35
0211;Basis Autopolym./Individueller Löffel;20,57;21,65
0212;Basis Autopolym./Funktionslöffel;20,57;21,65
0213;Basis Autopolym./Bissregistrierung;20,57;21,65
0214;Basis Autopolym./Stützstiftregistrierung;20,57;21,65
0215;Basis Autopolym./Kunststoffbasis f. Aufstell.;20,57;21,65
0216;Basis für Bissregistr. bei Implantatvers.;20,57;21,65
0218;Basis für Aufstellung bei Implantatvers.;20,57;21,65
0220;Bisswall;5,94;6,25
0228;Bisswall bei Implantatversorgung;5,94;6,25
0230;Registrierplatte und -stift auf Basen;26,45;27,84
0240;Übertragungskappe Kunststoff/Metall;22,65;23,84
0310;Provisorische Krone/Brückenglied;30,29;31,88
0320;Formteil;16,41;17,27
1013;Wurzelstiftkappe;70,56;74,27
1021;Vollkrone, Metall;75,83;79,82
1022;Teilkrone, Metall;75,83;79,82
1023;Flügel für Adhäsivbrücke, je Flügel;74,25;78,16
1024;Krone für vestibuläre Verblendung;75,21;79,17
1026;Vollkrone/Metall bei Implantatversorgung;75,83;79,82
1028;Krone für vestib.Verblendung bei Impl.vers.;75,21;79,17
1031;Vorbereiten Krone/Brückenglied ;12,66;13,33
