BEL_KNR;BEL_NR;LEIST_BEZ;KAS_ART;PL_EUR;GL_EUR
0010;0010;Modell;0;6,02;6,34
0018;0018;Modell bei Implantatversorgung;0;6,02;6,34
0021;0021;Doublieren;0;12,74;13,41
0022;0022;Platzhalter einfügen;0;12,74;13,41
0023;0023;Verwendung von Kunststoff;0;12,74;13,41
0024;0024;Galvanisieren;0;12,74;13,41
0030;0030;Set-up ;0;8,36;8,80
0051;0051;Stumpfmodell/Sägemodell;0;9,65;10,16
0052;0052;Stumpfmodell/Einzelstumpfmodell;0;9,65;10,16
0053;0053;Stumpfmodell/Modell nach Überabdruck;0;9,65;10,16
0054;0054;Stumpfmodell/Set-up Modell;0;9,65;10,16
0055;0055;Stumpfmodell/Fräsmodell;0;9,65;10,16
0060;0060;Zahnkranz;0;4,90;5,16
0070;0070;Zahnkranz sockeln;0;5,17;5,44
0111;0111;Modellpaar trimmen;0;9,17;9,65
0112;0112;Fixator;0;7,83;8,24
0120;0120;Mittelwertartikulator;0;8,84;9,31
0128;0128;Mittelwertartikulator bei Implantatvers.;0;8,84;9,31
0130;0130;Modellpaar sockeln;0;20,44;21,52
0201;0201;Basis für Vorbissnahme;0;8,17;8,60
0202;0202;Basis für Konstruktionsbiss;0;6,98;7,35
0211;0211;Basis Autopolym./Individueller Löffel;0;20,57;21,65
0212;0212;Basis Autopolym./Funktionslöffel;0;20,57;21,65
0213;0213;Basis Autopolym./Bissregistrierung;0;20,57;21,65
0214;0214;Basis Autopolym./Stützstiftregistrierung;0;20,57;21,65
0215;0215;Basis Autopolym./Kunststoffbasis f. Aufstell.;0;20,57;21,65
0216;0216;Basis für Bissregistr. bei Implantatvers.;0;20,57;21,65
0218;0218;Basis für Aufstellung bei Implantatvers.;0;20,57;21,65
0220;0220;Bisswall;0;5,94;6,25
0228;0228;Bisswall bei Implantatversorgung;0;5,94;6,25
0230;0230;Registrierplatte und -stift auf Basen;0;26,45;27,84
0240;0240;Übertragungskappe Kunststoff/Metall;0;22,65;23,84
0310;0310;Provisorische Krone/Brückenglied;0;30,29;31,88
0320;0320;Formteil;0;16,41;17,27
1013;1013;Wurzelstiftkappe;0;70,56;74,27
1021;1021;Vollkrone, Metall;0;75,83;79,82
1022;1022;Teilkrone, Metall;0;75,83;79,82
1023;1023;Flügel für Adhäsivbrücke, je Flügel;0;74,25;78,16
1024;1024;Krone für vestibuläre Verblendung;0;75,21;79,17
1026;1026;Vollkrone/Metall bei Implantatversorgung;0;75,83;79,82
1028;1028;Krone für vestib.Verblendung bei Impl.vers.;0;75,21;79,17
1031;1031;Vorbereiten Krone/Brückenglied ;0;12,66;13,33
1032;1032;Krone/Brückenglied einarbeiten;0;12,66;13,33
1033;1033;Stiftaufbau einarbeiten;0;12,66;13,33
1040;1040;Modellation gießen;0;16,49;17,36
1050;1050;Stiftaufbau ;0;49,89;52,52
1100;1100;Brückenglied;0;54,27;57,13
1200;1200;Teleskopierende Krone;0;236,27;248,70
1201;1201;Teleskopierende Primär- o. Sekundärkrone;0;157,66;165,96
1331;1331;Individuelles Geschiebe- nur bei geteilter Br.;0;197,41;207,80
1341;1341;Konfektion. Geschiebe- nur bei geteilter Br.;0;97,82;102,97
1343;1343;Konfektionsanker;0;97,82;102,97
1347;1347;Primär-/Sekundär-Teil Konfektionsanker;0;65,08;68,51
1349;1349;Wiederbef. Sekundär-Teil ind. Verbindung;0;65,08;68,51
1360;1360;Gefrästes Lager;0;47,01;49,48
1370;1370;Schubverteilungsarm;0;35,25;37,11
1500;1500;Metallverbindung nach Brand;0;26,29;27,67
1550;1550;Konditionierung, je Zahn/Flügel;0;12,53;13,19
1600;1600;Vestibuläre Verblendung Kunststoff;0;42,94;45,20
1610;1610;Zahnfleisch Kunststoff;0;13,66;14,38
1620;1620;Vestibuläre Verblendung Keramik;0;88,19;92,83
1628;1628;Vestib. Verblendg. Keramik bei Impl.vers.;0;88,19;92,83
1630;1630;Zahnfleisch Keramik;0;31,52;33,18
1638;1638;Zahnfleisch Keramik bei Implantatvers.;0;31,52;33,18
1640;1640;Vestibuläre Verblendung Komposite;0;67,14;70,67
1650;1650;Zahnfleisch Komposite;0;18,20;19,16
2010;2010;Metallbasis;0;128,20;134,95
2021;2021;Einarmige gegossene Haltevorrichtung;0;10,98;11,56
2025;2025;Kralle;0;10,98;11,56
2026;2026;Ney-Stiel;0;10,98;11,56
2027;2027;Auflage;0;10,98;11,56
2028;2028;Umgehungsbügel bei Diastema;0;10,98;11,56
2031;2031;Zweiarmige gegossene Haltevorrichtung;0;20,10;21,16
2041;2041;Zweiarmige geg. Halte- u. Stützvorr./Auflage;0;27,16;28,59
2050;2050;Bonwillklammer;0;49,54;52,15
2081;2081;Rückenschutzplatte;0;35,87;37,76
2082;2082;Metallzahn, gegossen;0;35,87;37,76
2083;2083;Metallkaufläche, gegossen;0;35,87;37,76
2100;2100;Lösungshilfe;0;10,37;10,92
2110;2110;Unterfütterbarer Abschlussrand;0;16,56;17,43
2120;2120;Zuschlag  einzelne gegossene Klammer;0;17,21;18,12
3010;3010;Aufstellung Grundeinheit;0;27,00;28,42
3018;3018;Aufstellung Grundeinh. bei Implantatvers.;0;27,00;28,42
3020;3020;Aufstellen Wachs o. Kunststoff, je Zahn;0;1,62;1,70
3028;3028;Aufst. Wachs o. Kunstst., je Zahn b. Implant.;0;1,62;1,70
3030;3030;Aufstellen Metall, je Zahn;0;2,13;2,24
3410;3410;Übertragung, je Zahn;0;1,33;1,40
3610;3610;Fertigstellung Grundeinheit;0;45,34;47,73
3618;3618;Fertigst. Grundeinheit bei Implantatvers.;0;45,34;47,73
3620;3620;Fertigstellen, je Zahn;0;2,93;3,08
3628;3628;Fertigstellen, je Zahn bei Implantatvers.;0;2,93;3,08
3800;3800;Einfache gebog. Halte- und/oder Stützvorr.;0;8,96;9,43
3805;3805;Gebogene Auflage;0;8,96;9,43
3810;3810;Sonstige gebog. Halte- und/oder Stützvorr.;0;15,11;15,91
3821;3821;Weichkunststoff (ZE);0;48,96;51,54
3822;3822;Sonderkunststoff;0;48,96;51,54
3830;3830;Zahn zahnfarben hergestellt;0;20,53;21,61
3840;3840;Zahn zahnfarben hinterlegt;0;10,78;11,35
4010;4010;Aufbissbehelf mit adjustierter Oberfläche;0;57,15;60,16
4020;4020;Aufbissbehelf ohne adjustierte Oberfläche;0;47,15;49,63
4030;4030;Umarbeiten zum Aufbissbehelf;0;44,50;46,84
4040;4040;Semiperman. Schiene aus Metall, je Zahn;0;27,40;28,84
7010;7010;Basis Einzelkiefergerät;0;44,88;47,24
7020;7020;Basis bimaxilläres Gerät;0;78,35;82,47
7030;7030;Schiefe Ebene;0;36,64;38,57
7040;7040;Vorhofplatte;0;38,67;40,70
7050;7050;Kinnkappe;0;43,67;45,97
7100;7100;Aufbiss;0;8,22;8,65
7110;7110;Abschirmelement;0;17,77;18,70
7121;7121;Weichkunststoff (KFO);0;19,05;20,05
7122;7122;Sonderkunststoff (KFO);0;19,05;20,05
7200;7200;Schraube einarbeiten;0;13,61;14,33
7210;7210;Spezialschraube einarbeiten;0;22,71;23,91
7220;7220;Trennen einer Basis;0;5,99;6,31
7300;7300;Labialbogen;0;16,31;17,17
7310;7310;Labialbogen modifiziert;0;22,71;23,91
7320;7320;Labialbogen intermaxillär;0;25,02;26,34
7330;7330;Feder, offen;0;9,21;9,69
7340;7340;Feder, geschlossen;0;12,49;13,15
7400;7400;Verbindungselement/intra;0;18,20;19,16
7410;7410;Verbindungselement/inter;0;22,71;23,91
7420;7420;Verankerungselement;0;18,61;19,59
7430;7430;Einzelelement einarbeiten;0;10,62;11,18
7440;7440;Metallverbindung (KFO);0;7,74;8,15
7500;7500;Einarmiges Halte-/Abstützelement;0;6,11;6,43
