Kürzel;Nr.;Bezeichnung;Kassenart;Preis Kons Praxislabor;Preis Kons Gewerbelabor;Preis ZE Praxislabor;Preis ZE Gewerbelabor;Preis KFO Praxislabor;Preis KFO Gewerbelabor;Preis KB Praxislabor;Preis KB Gewerbelabor;Preis PA Praxislabor;Preis PA Gewerbelabor;
0010;0010;Modell;0;7,66;8,06;;;;;;;;;
0015;0015;Modell UKPS;0;7,66;8,06;;;;;;;;;
0018;0018;Modell bei Implantatversorgung;0;7,66;8,06;;;;;;;;;
0021;0021;Doublieren eines Modells;0;15,58;16,4;;;;;;;;;
0022;0022;Platzhalter einfügen;0;16,22;17,07;;;;;;;;;
0023;0023;Verwendung von Kunststoff;0;16,22;17,07;;;;;;;;;
0024;0024;Galvanisieren;0;16,22;17,07;;;;;;;;;
0025;0025;Doublieren eines Modells UKPS;0;15,58;16,4;;;;;;;;;
0030;0030;Set-up je Segment;0;11,55;12,16;;;;;;;;;
0051;0051;Sägemodell;0;18,03;18,98;;;;;;;;;
0052;0052;Einzelstumpfmodell;0;18,03;18,98;;;;;;;;;
0053;0053;Modell nach Überabdruck;0;18,03;18,98;;;;;;;;;
0054;0054;Set-up-Modell für KFO;0;12,1;12,74;;;;;;;;;
0055;0055;Fräsmodell;0;12,28;12,93;;;;;;;;;
0060;0060;Zahnkranz;0;6,22;6,55;;;;;;;;;
0070;0070;Zahnkranz sockeln;0;6,57;6,92;;;;;;;;;
0111;0111;Modellpaar trimmen;0;11,77;12,39;;;;;;;;;
0112;0112;Fixator;0;9,98;10,5;;;;;;;;;
0115;0115;Fixator UKPS;0;9,98;10,5;;;;;;;;;
0120;0120;Mittelwertartikulator;0;11,26;11,85;;;;;;;;;
0125;0125;Mittelwertartikulator UKPS;0;11,26;11,85;;;;;;;;;
0128;0128;Mittelwertartikulator bei Implantatversorgung;0;11,26;11,85;;;;;;;;;
0130;0130;Modellpaar sockeln;0;25,82;27,18;;;;;;;;;
0201;0201;Basis für Vorbissnahme;0;10,4;10,95;;;;;;;;;
0202;0202;Basis für Konstruktionsbiss;0;9,35;9,84;;;;;;;;;
0205;0205;Vorbereiten Bissgabel UKPS;0;9,35;9,84;;;;;;;;;
0211;0211;Individueller Löffel;0;26,18;27,56;;;;;;;;;
0212;0212;Funktionslöffel;0;26,18;27,56;;;;;;;;;
0213;0213;Basis für Bissregistrierung;0;26,18;27,56;;;;;;;;;
0214;0214;Basis für Stützstiftregistrierung;0;26,18;27,56;;;;;;;;;
0215;0215;Basis für Aufstellung;0;26,18;27,56;;;;;;;;;
