kuerzel;nr;bezeichnung;kassenart;preiskchpraxis;preiskchgewerbe;preiszepraxis;preiszegewerbe;preiskfopraxis;preiskfogewerbe;preiskbpraxis;preiskbgewerbe;preispapraxis;preispagewerbe
10;10;Modell;0;0;0;6,8;7,16;6,8;7,16;6,8;7,16;0;0
15;15;Modell UKPS;0;0;0;0;0;0;0;6,8;7,16;0;0
18;18;Modell bei Implantatversorgung;0;0;0;6,8;7,16;0;0;6,8;7,16;0;0
21;21;Doublieren eines Modells;0;0;0;15,93;16,77;15,93;16,77;15,93;16,77;0;0
22;22;Platzhalter einfügen;0;0;0;14,4;15,16;0;0;14,4;15,16;0;0
23;23;Verwendung von Kunststoff;0;0;0;14,4;15,16;0;0;14,4;15,16;0;0
24;24;Galvanisieren;0;0;0;14,4;15,16;0;0;14,4;15,16;0;0
25;25;Doublieren eines Modells UKPS;0;0;0;0;0;0;0;15,93;16,77;0;0
30;30;Set-up je Segment;0;0;0;10,28;10,82;10,28;10,82;10,28;10,82;0;0
51;51;Sägemodell;0;0;0;10,91;11,48;0;0;10,91;11,48;0;0
52;52;Einzelstumpfmodell;0;0;0;10,91;11,48;0;0;10,91;11,48;0;0
53;53;Modell nach Überabdruck;0;0;0;10,91;11,48;0;0;10,91;11,48;0;0
54;54;Set-up Modell für KFO;0;0;0;11,81;12,43;11,81;12,43;11,81;12,43;0;0
55;55;Fräsmodell;0;0;0;10,91;11,48;0;0;10,91;11,48;0;0
60;60;Zahnkranz;0;0;0;5,29;5,57;0;0;5,29;5,57;0;0
70;70;Zahnkranz sockeln;0;0;0;5,64;5,94;5,64;5,94;5,64;5,94;0;0
111;111;Modellpaar trimmen;0;0;0;9,23;9,72;9,23;9,72;9,23;9,72;0;0
112;112;Fixator;0;0;0;8,85;9,32;8,85;9,32;8,85;9,32;0;0
115;115;Fixator UKPS;0;0;0;0;0;0;0;8,85;9,32;0;0
120;120;Mittelwertartikulator;0;0;0;9,99;10,52;9,99;10,52;9,99;10,52;0;0
125;125;Mittelwertartikulator UKPS;0;0;0;0;0;0;0;9,99;10,52;0;0
128;128;Mittelwertartikulator bei Implantatversorgung;0;0;0;9,99;10,52;0;0;9,99;10,52;0;0
130;130;Modellpaar sockeln;0;0;0;24,79;26,09;24,79;26,09;24,79;26,09;0;0
201;201;Basis für Vorbissnahme;0;0;0;9,24;9,73;0;0;9,24;9,73;0;0
202;202;Basis für Konstruktionsbiss;0;0;0;9,27;9,76;9,27;9,76;9,27;9,76;0;0
205;205;Vorbereiten Bissgabel UKPS;0;0;0;0;0;0;0;9,24;9,73;0;0
211;211;Individueller Löffel;0;0;0;22,58;23,77;0;0;22,58;23,77;0;0
212;212;Funktionslöffel;0;0;0;22,58;23,77;0;0;22,58;23,77;0;0
213;213;Basis für Bissregistrierung;0;0;0;22,58;23,77;22,58;23,77;22,58;23,77;0;0
214;214;Basis für Stützstiftregistrierung;0;0;0;22,58;23,77;0;0;22,58;23,77;0;0
215;215;Basis für Aufstellung;0;0;0;22,58;23,77;0;0;22,58;23,77;0;0
216;216;Basis für Bissregistr. bei Implantatversorgung;0;0;0;22,58;23,77;0;0;22,58;23,77;0;0
217;217;Individueller Löffel UKPS;0;0;0;0;0;0;0;22,58;23,77;0;0
218;218;Basis für Aufstellung bei Implantatversorgung;0;0;0;22,58;23,77;0;0;22,58;23,77;0;0
220;220;Bisswall;0;0;0;6,72;7,07;6,72;7,07;6,72;7,07;0;0
228;228;Bisswall bei Implantatversorgung;0;0;0;6,72;7,07;0;0;6,72;7,07;0;0
230;230;Registrierplatte und -stift auf Basen;0;0;0;29,91;31,48;0;0;29,91;31,48;0;0
240;240;Übertragungskappe Kunststoff/Metall;0;0;0;25,6;26,95;0;0;25,6;26,95;0;0
310;310;Provisorische Krone/Brückenglied;0;0;0;32,72;34,44;0;0;32,72;34,44;0;0
320;320;Formteil;0;0;0;18,55;19,53;0;0;18,55;19,53;0;0
1013;1013;Wurzelstiftkappe;0;0;0;78,63;82,77;0;0;78,63;82,77;0;0
1021;1021;Vollkrone/Metall;0;0;0;84,39;88,83;0;0;84,39;88,83;0;0
1022;1022;Teilkrone/Metall;0;0;0;85,77;90,28;0;0;85,77;90,28;0;0
1023;1023;Flügel für Adhäsivbrücke, je Flügel;0;0;0;83,98;88,4;0;0;83,98;88,4;0;0
1024;1024;Krone für vestibuläre Verblendung;0;0;0;85,07;89,55;0;0;85,07;89,55;0;0
1026;1026;Vollkrone/Metall bei Implantatversorgung;0;0;0;85,77;90,28;0;0;85,77;90,28;0;0
1028;1028;Krone für vestib. Verbl. bei Implantatversorgung;0;0;0;85,07;89,55;0;0;85,07;89,55;0;0
1031;1031;Vorbereiten Krone;0;0;0;14,16;14,9;0;0;14,16;14,9;0;0
1032;1032;Krone/Brückenglied einarbeiten;0;0;0;14,16;14,9;0;0;14,16;14,9;0;0
1033;1033;Stiftaufbau einarbeiten;0;0;0;14,16;14,9;0;0;14,16;14,9;0;0
1040;1040;Modellation gießen;0;0;0;18,65;19,63;0;0;18,65;19,63;0;0
1050;1050;Stiftaufbau;0;0;0;53,89;56,73;0;0;53,89;56,73;0;0
1100;1100;Brückenglied;0;0;0;60,33;63,51;0;0;60,33;63,51;0;0
1200;1200;Teleskopierende Krone;0;0;0;257,97;271,55;0;0;257,97;271,55;0;0
1201;1201;Teleskopierende Primär- oder Sekundärkrone;0;0;0;178,33;187,72;0;0;178,33;187,72;0;0
1331;1331;Individuelles Geschiebe;0;0;0;213,28;224,51;0;0;213,28;224,51;0;0
1341;1341;Konfektions-Geschiebe;0;0;0;105,69;111,25;0;0;105,69;111,25;0;0
1343;1343;Konfektions-Anker;0;0;0;105,69;111,25;0;0;105,69;111,25;0;0
1347;1347;Primär-/Sek.-Teil Konf.-Anker;0;0;0;70,8;74,53;0;0;70,8;74,53;0;0
1349;1349;Wiederbef. Sek.-Teil;0;0;0;70,8;74,53;0;0;70,8;74,53;0;0
1360;1360;Gefrästes Lager;0;0;0;50,95;53,63;0;0;50,95;53,63;0;0
1370;1370;Schubverteilungsarm;0;0;0;38,09;40,09;0;0;38,09;40,09;0;0
1500;1500;Metallverbindung nach Brand;0;0;0;29,73;31,29;0;0;29,73;31,29;0;0
1550;1550;Konditionierung je Zahn/Flügel;0;0;0;13,92;14,65;13,92;14,65;13,92;14,65;0;0
1600;1600;Vestibuläre Verblendung Kunststoff;0;0;0;46,38;48,82;46,38;48,82;46,38;48,82;0;0
1610;1610;Zahnfleisch Kunststoff;0;0;0;14,75;15,53;14,75;15,53;14,75;15,53;0;0
1620;1620;Vestibuläre Verblendung Keramik;0;0;0;95,28;100,29;0;0;95,28;100,29;0;0
1628;1628;Vestib. Verbl. Keramik bei Implantatv.;0;0;0;95,28;100,29;0;0;95,28;100,29;0;0
1630;1630;Zahnfleisch Keramik;0;0;0;34,5;36,32;0;0;34,5;36,32;0;0
1638;1638;Zahnfleisch  Keramik bei Implantatv.;0;0;0;34,5;36,32;0;0;34,5;36,32;0;0
1640;1640;Vestibuläre Verblendung Komposit;0;0;0;72,7;76,53;72,7;76,53;72,7;76,53;0;0
1650;1650;Zahnfleisch Komposit;0;0;0;19,67;20,7;19,67;20,7;19,67;20,7;0;0
2010;2010;Metallbasis;0;0;0;142,73;150,24;142,73;150,24;142,73;150,24;0;0
2021;2021;Einarmige gegossene Haltevorrichtung;0;0;0;12,42;13,07;12,42;13,07;12,42;13,07;0;0
2025;2025;Kralle;0;0;0;12,42;13,07;12,42;13,07;12,42;13,07;0;0
2026;2026;Ney-Stiel;0;0;0;12,2;12,84;12,2;12,84;12,2;12,84;0;0
2027;2027;Auflage;0;0;0;12,42;13,07;12,42;13,07;12,42;13,07;0;0
2028;2028;Umgehungsbügel bei Diastema;0;0;0;12,42;13,07;12,42;13,07;12,42;13,07;0;0
2031;2031;Zweiarmige gegossene Haltevorrichtung;0;0;0;22,73;23,93;22,73;23,93;22,73;23,93;0;0
2041;2041;Zweiarmige gegossene Halte- und Stützvorrichtung/ Auflage;0;0;0;29,78;31,35;29,78;31,35;29,78;31,35;0;0
2050;2050;Bonwillklammer;0;0;0;53,52;56,34;53,52;56,34;53,52;56,34;0;0
2081;2081;Rückenschutzplatte;0;0;0;38,75;40,79;38,75;40,79;38,75;40,79;0;0
2082;2082;Metallzahn, gegossen;0;0;0;38,75;40,79;38,75;40,79;38,75;40,79;0;0
2083;2083;Metallkaufläche, gegossen;0;0;0;38,75;40,79;38,75;40,79;38,75;40,79;0;0
2100;2100;Lösungshilfe;0;0;0;11,73;12,35;0;0;11,73;12,35;0;0
2110;2110;Unterfütterbarer Abschlussrand;0;0;0;18,72;19,71;0;0;18,72;19,71;0;0
2120;2120;Zuschlag einzelne gegossene Klammer;0;0;0;18,59;19,57;18,59;19,57;18,59;19,57;0;0
3010;3010;Aufstellung Grundeinheit;0;0;0;30,54;32,15;0;0;30,54;32,15;0;0
3018;3018;Aufstellung Grundeinheit bei Implantatv.;0;0;0;30,54;32,15;0;0;30,54;32,15;0;0
3020;3020;Aufstellen Wachs oder Kunststoff, je Zahn;0;0;0;1,77;1,86;1,77;1,86;1,77;1,86;0;0
3028;3028;Aufst. Wachs- oder Kunststoff je Zahn bei Implantatv.;0;0;0;1,77;1,86;0;0;1,77;1,86;0;0
3030;3030;Aufstellen Metall je Zahn;0;0;0;2,32;2,44;2,32;2,44;2,32;2,44;0;0
3410;3410;Übertragung je Zahn;0;0;0;1,5;1,58;0;0;1,5;1,58;0;0
3610;3610;Fertigstellung Grundeinheit;0;0;0;51,29;53,99;0;0;51,29;53,99;0;0
3618;3618;Fertigst. Grundeinheit bei Implantatv.;0;0;0;51,29;53,99;0;0;51,29;53,99;0;0
3620;3620;Fertigstellen je Zahn;0;0;0;3,19;3,36;3,19;3,36;3,19;3,36;0;0
3628;3628;Fertigstellen je Zahn bei Implantatv.;0;0;0;3,15;3,32;0;0;3,15;3,32;0;0
3800;3800;Einfache gebogene Halte- /Stützvorrichtung;0;0;0;9,67;10,18;9,67;10,18;9,67;10,18;0;0
3805;3805;Gebogene Auflage;0;0;0;9,67;10,18;9,67;10,18;9,67;10,18;0;0
3810;3810;Sonstige gebogene Halte- und/oder Stützvorrichtung;0;0;0;17,09;17,99;17,09;17,99;17,09;17,99;0;0
3821;3821;Weichkunststoff;0;0;0;54,5;57,37;54,5;57,37;54,5;57,37;0;0
3822;3822;Sonderkunststoff;0;0;0;54,5;57,37;54,5;57,37;54,5;57,37;0;0
3830;3830;Zahn zahnfarben hergestellt;0;0;0;22,85;24,05;22,85;24,05;22,85;24,05;0;0
3840;3840;Zahn zahnfarben hinterlegt;0;0;0;11,65;12,26;11,65;12,26;11,65;12,26;0;0
4010;4010;Aufbissbehelf m.adj. Oberfläche;0;0;0;94,86;99,85;94,86;99,85;94,86;99,85;0;0
4011;4011;Aufbißschiene;0;0;0;0;0;0;0;0;0;0;0
4020;4020;Aufbissbehelf o. adj. Oberfläche;0;0;0;67,95;71,53;67,95;71,53;67,95;71,53;0;0
4030;4030;Umarbeiten zum  Aufbissbehelf;0;0;0;49;51,58;49;51,58;49;51,58;0;0
4040;4040;Semipermanente Schiene aus Metall, je Zahn;0;0;0;21,53;22,66;21,53;22,66;21,53;22,66;0;0
4060;4060;Semipermanente Schiene aus Kunststoff, je Zahn;0;0;0;0;0;0;0;0;0;0;0
5001;5001;Abformmaterial;0;0;0;0;0;0;0;0;0;0;0
5010;5010;Basen UKPS;0;0;0;0;0;0;0;254,07;267,44;0;0
5011;5011;Bissregistrat (Quetschbiss);0;0;0;0;0;0;0;0;0;0;0
5020;5020;Vestibuläre Protrulionsgleitflächen UKPS;0;0;0;0;0;0;0;20,53;21,61;0;0
5022;5022;Kinnkappe;0;0;0;0;0;0;0;0;0;0;0
5023;5023;Kopfkappe (konfektioniert);0;0;0;0;0;0;0;0;0;0;0
5024;5024;Kopfkinnkappe;0;0;0;0;0;0;0;0;0;0;0
5025;5025;Positioner/Prefinisher;0;0;0;0;0;0;0;0;0;0;0
5031;5031;Schrauben;0;0;0;0;0;0;0;0;0;0;0
5032;5032;Headgearröhrchen;0;0;0;0;0;0;0;0;0;0;0
5033;5033;Zahn;0;0;0;0;0;0;0;0;0;0;0
5041;5041;Weich- und Sonderkunststoffe;0;0;0;0;0;0;0;0;0;0;0
5042;5042;Festsitzende Kunststoffaufbisse (okklusal);0;0;0;0;0;0;0;0;0;0;0
5053;5053;Silikonschlauch (bei Allergie);0;0;0;0;0;0;0;0;0;0;0
5071;5071;Testmaterial;0;0;0;0;0;0;0;0;0;0;0
5091;5091;Nackenpolster;0;0;0;0;0;0;0;0;0;0;0
5092;5092;Kopfkappe (intra-extraoral);0;0;0;0;0;0;0;0;0;0;0
5093;5093;Nackenzug;0;0;0;0;0;0;0;0;0;0;0
5094;5094;Herbstscharnier;0;0;0;0;0;0;0;0;0;0;0
5095;5095;Bügel/Sporne;0;0;0;0;0;0;0;0;0;0;0
5100;5100;Befestigungselement Protrulionselement UKPS;0;0;0;0;0;0;0;16,27;17,13;0;0
5102;5102;Delaire - Maske;0;0;0;0;0;0;0;0;0;0;0
5110;5110;Protrulionselement UKPS;0;0;0;0;0;0;0;16,27;17,13;0;0
5200;5200;Befestigungselement Mundöffnungsbegrenzung UKPS;0;0;0;0;0;0;0;9,67;10,18;0;0
5210;5210;Einfaches gebogenes Halteelement für UKPS;0;0;0;0;0;0;0;9,67;10,18;0;0
5410;5410;Kunststoffmaterial (Unterfütterung, Adjustierung, Fixierung);0;0;0;0;0;0;0;0;0;0;0
5420;5420;Compositematerial (semipermanente Schiene);0;0;0;0;0;0;0;0;0;0;0
5425;5425;Polyesterfäden bzw. -netze, Gummizüge;0;0;0;0;0;0;0;0;0;0;0
5440;5440;Draht/Drahtelemente zur Fixierung;0;0;0;0;0;0;0;0;0;0;0
5460;5460;Osteosynthesematerial (Platten u. Schrauben);0;0;0;0;0;0;0;0;0;0;0
5461;5461;Obturator;0;0;0;0;0;0;0;0;0;0;0
5462;5462;Resektions-/ Defektprothese;0;0;0;0;0;0;0;0;0;0;0
5463;5463;Epithese;0;0;0;0;0;0;0;0;0;0;0
5464;5464;Wundschnellverband;0;0;0;0;0;0;0;0;0;0;0
