0010;0010;Modell;0;6,67;7,02;;;;;;;;;
0015;0015;Modell UKPS;0;6,69;7,04;;;;;;;;;
0018;0018;Modell bei Implantatversorgung;0;6,67;7,02;;;;;;;;;
0021;0021;Doublieren eines Modells;0;12,51;13,17;;;;;;;;;
0022;0022;Platzhalter einfügen;0;14,11;14,85;;;;;;;;;
0023;0023;Verwendung von Kunststoff;0;14,11;14,85;;;;;;;;;
0024;0024;Galvanisieren;0;14,11;14,85;;;;;;;;;
0025;0025;Doublieren eines Modells UKPS;0;12,51;13,17;;;;;;;;;
0030;0030;Set-up je Segment;0;8,35;8,79;;;;;;;;;
0051;0051;Sägemodell;0;10,70;11,26;;;;;;;;;
0052;0052;Einzelstumpfmodell;0;10,70;11,26;;;;;;;;;
0053;0053;Modell nach Überabdruck;0;10,70;11,26;;;;;;;;;
0054;0054;Set-up-Modell für KFO;0;9,03;9,50;;;;;;;;;
0055;0055;Fräsmodell;0;10,70;11,26;;;;;;;;;
0060;0060;Zahnkranz;0;5,43;5,72;;;;;;;;;
0070;0070;Zahnkranz sockeln;0;5,73;6,03;;;;;;;;;
0111;0111;Modellpaar trimmen;0;9,88;10,40;;;;;;;;;
0112;0112;Fixator;0;8,67;9,13;;;;;;;;;
0115;0115;Fixator UKPS;0;8,67;9,13;;;;;;;;;
0120;0120;Mittelwertartikulator;0;9,79;10,30;;;;;;;;;
0125;0125;Mittelwertartikulator UKPS;0;9,83;10,35;;;;;;;;;
0128;0128;Mittelwertartikulator bei Implantatversorgung;0;9,79;10,30;;;;;;;;;
0130;0130;Modellpaar sockeln;0;22,08;23,24;;;;;;;;;
0201;0201;Basis für Vorbissnahme;0;9,06;9,54;;;;;;;;;
0202;0202;Basis für Konstruktionsbiss;0;7,52;7,92;;;;;;;;;
0205;0205;Vorbereiten Bissgabel UKPS;0;7,52;7,92;;;;;;;;;
0211;0211;Individueller Löffel;0;22,80;24,00;;;;;;;;;
0212;0212;Funktionslöffel;0;22,80;24,00;;;;;;;;;
0213;0213;Basis für Bissregistrierung;0;22,80;24,00;;;;;;;;;
0214;0214;Basis für Stützstiftregistrierung;0;22,80;24,00;;;;;;;;;
0215;0215;Basis für Aufstellung;0;22,80;24,00;;;;;;;;;
0216;0216;Basis für Bissregistrierung bei Implantatversorgung;0;22,80;24,00;;;;;;;;;
0217;0217;Individueller Löffel UKPS;0;22,72;23,92;;;;;;;;;
0218;0218;Basis für Aufstellung bei Implantatversorgung;0;22,80;24,00;;;;;;;;;
0220;0220;Bisswall;0;6,58;6,93;;;;;;;;;
0228;0228;Bisswall bei Implantatversorgung;0;6,58;6,93;;;;;;;;;
0230;0230;Registrierplatte und -stift auf Basen;0;29,31;30,85;;;;;;;;;
0240;0240;Übertragungskappe Kunststoff / Metall;0;25,10;26,42;;;;;;;;;
0310;0310;Provisorische Krone / Brückenglied;0;33,55;35,32;;;;;;;;;
0320;0320;Formteil;0;18,17;19,13;;;;;;;;;
1013;1013;Wurzelstiftkappe;0;78,18;82,29;;;;;;;;;
1021;1021;Vollkrone / Metall;0;84,04;88,46;;;;;;;;;
1022;1022;Teilkrone / Metall;0;84,04;88,46;;;;;;;;;
1023;1023;Flügel für Adhäsivbrücke, je Flügel;0;82,28;86,61;;;;;;;;;
1024;1024;Krone für vestibuläre Verblendung;0;83,33;87,72;;;;;;;;;
1026;1026;Vollkrone / Metall bei Implantatversorgung;0;84,04;88,46;;;;;;;;;
1028;1028;Krone für vestibuläre Verblendung bei Implantatversorgung;0;83,33;87,72;;;;;;;;;
1031;1031;Vorbereiten Krone;0;14,03;14,77;;;;;;;;;
1032;1032;Krone/Brückenglied einarbeiten;0;14,03;14,77;;;;;;;;;
1033;1033;Stiftaufbau einarbeiten;0;14,03;14,77;;;;;;;;;
1040;1040;Modellation gießen;0;18,28;19,24;;;;;;;;;
1050;1050;Stiftaufbau;0;55,29;58,20;;;;;;;;;
1100;1100;Brückenglied;0;60,14;63,30;;;;;;;;;
1200;1200;Teleskopierende Krone;0;261,79;275,57;;;;;;;;;
1201;1201;Teleskopierende Primär- oder Sekundärkrone;0;174,71;183,91;;;;;;;;;
1331;1331;Individuelles Geschiebe;0;218,74;230,25;;;;;;;;;
1341;1341;Konfektions-Geschiebe;0;108,40;114,11;;;;;;;;;
1343;1343;Konfektions-Anker;0;108,40;114,11;;;;;;;;;
1347;1347;Primär-/Sekundär-Teil Konfektions-Anker;0;72,11;75,91;;;;;;;;;
1349;1349;Wiederbefestigen Sekundär-Teil;0;72,11;75,91;;;;;;;;;
1360;1360;Gefrästes Lager;0;52,09;54,83;;;;;;;;;
1370;1370;Schubverteilungsarm;0;39,06;41,12;;;;;;;;;
