0010;0010;Modell;0;6,80;7,16;;;;;;;;
0015;0015;Modell UKPS;0;6,80;7,16;;;;;;;;
0018;0018;Modell bei Implantatversorgung;0;6,15;6,48;;;;;;;;
0021;0021;Doublieren eines Modells;0;13,70;14,43;;;;;;;;
0022;0022;Platzhalter einfügen;0;13,03;13,72;;;;;;;;
0023;0023;Verwendung v. Kunststoff;0;14,40;15,16;;;;;;;;
0024;0024;Galvanisieren;0;13,03;13,72;;;;;;;;
0025;0025;Doublieren eines Modells UKPS;0;13,70;14,43;;;;;;;;
0030;0030;Set-up je Segment;0;9,94;10,47;;;;;;;;
0051;0051;Sägemodell;0;10,88;11,46;;;;;;;;
0052;0052;Einzelstumpfmodell;0;10,45;11,00;;;;;;;;
0053;0053;Modell nach Überabdruck;0;10,90;11,48;;;;;;;;
0054;0054;Set-up Modell für KFO;0;10,18;10,72;;;;;;;;
0055;0055;Fräsmodell;0;10,45;11,00;;;;;;;;
0060;0060;Zahnkranz;0;5,00;5,27;;;;;;;;
0070;0070;Zahnkranz sockeln;0;5,28;5,56;;;;;;;;
0111;0111;Modellpaar trimmen;0;8,85;9,32;;;;;;;;
0112;0112;Fixator;0;8,85;9,32;;;;;;;;
0115;0115;Fixator UKPS;0;8,85;9,32;;;;;;;;
0120;0120;Mittelwertartikulator;0;9,99;10,52;;;;;;;;
0125;0125;Mittelwertartikulator UKPS;0;9,99;10,52;;;;;;;;
0128;0128;Mittelwertartikulator bei Implantatv.;0;9,04;9,52;;;;;;;;
0130;0130;Modellpaar sockeln;0;22,79;23,99;;;;;;;;
0201;0201;Basis für Vorbißnahme;0;9,02;9,50;;;;;;;;
0202;0202;Basis für Konstruktionsbiss;0;8,39;8,84;;;;;;;;
0205;0205;Vorbereiten Bissgabel UKPS;0;8,39;8,84;;;;;;;;
0211;0211;Basis aus Kunststoff/Indiv. Löffel;0;23,26;24,49;;;;;;;;
0212;0212;Basis aus Kunststoff/Funktionslöffel;0;23,26;24,49;;;;;;;;
0213;0213;Basis aus Kunststoff/Bissregistrierung;0;23,26;24,49;;;;;;;;
0214;0214;Basis aus Kunststoff/Stützstiftregistr.;0;22,74;23,94;;;;;;;;
