0010;0010;Modell;0;7,04;7,41;;;;;;;;;
0015;0015;Modell UKPS;0;6,92;7,28;;;;;;;;;
0018;0018;Modell bei Implantatversorgung;0;6,80;7,16;;;;;;;;;
0021;0021;Doublieren eines Modells;0;12,85;13,53;;;;;;;;;
0022;0022;Platzhalter einfügen;0;14,61;15,38;;;;;;;;;
0023;0023;Verwendung von Kunststoff;0;14,61;15,38;;;;;;;;;
0024;0024;Galvanisieren;0;14,61;15,38;;;;;;;;;
0025;0025;Doublieren eines Modells UKPS;0;12,94;13,62;;;;;;;;;
0030;0030;Set-up je Segment;0;8,58;9,03;;;;;;;;;
0051;0051;Sägemodell;0;16,58;17,45;;;;;;;;;
0052;0052;Einzelstumpfmodell;0;16,29;17,15;;;;;;;;;
0053;0053;Modell nach Überabdruck;0;16,29;17,15;;;;;;;;;
0054;0054;Set-up-Modell für KFO;0;9,27;9,76;;;;;;;;;
0055;0055;Fräsmodell;0;11,08;11,66;;;;;;;;;
0060;0060;Zahnkranz;0;5,62;5,92;;;;;;;;;
0070;0070;Zahnkranz sockeln;0;5,93;6,24;;;;;;;;;
0111;0111;Modellpaar trimmen;0;10,16;10,69;;;;;;;;;
0112;0112;Fixator;0;8,99;9,46;;;;;;;;;
0115;0115;Fixator UKPS;0;8,97;9,44;;;;;;;;;
0120;0120;Mittelwertartikulator;0;10,35;10,89;;;;;;;;;
0125;0125;Mittelwertartikulator UKPS;0;10,17;10,71;;;;;;;;;
0128;0128;Mittelwertartikulator bei Implantatversorgung;0;9,98;10,51;;;;;;;;;
0130;0130;Modellpaar sockeln;0;22,69;23,88;;;;;;;;;
0201;0201;Basis für Vorbissnahme;0;9,39;9,88;;;;;;;;;
0202;0202;Basis für Konstruktionsbiss;0;7,73;8,14;;;;;;;;;
0205;0205;Vorbereiten Bissgabel UKPS;0;7,78;8,19;;;;;;;;;
0211;0211;Individueller Löffel;0;23,61;24,85;;;;;;;;;
0212;0212;Funktionslöffel;0;23,61;24,85;;;;;;;;;
0213;0213;Basis für Bissregistrierung;0;23,61;24,85;;;;;;;;;
0214;0214;Basis für Stützstiftregistrierung;0;23,61;24,85;;;;;;;;;
0215;0215;Basis für Aufstellung;0;23,61;24,85;;;;;;;;;
0216;0216;Basis für Bissregistrierung bei Implantatversorgung;0;23,26;24,48;;;;;;;;;
0217;0217;Individueller Löffel UKPS;0;23,51;24,75;;;;;;;;;
0218;0218;Basis für Aufstellung bei Implantatversorgung;0;23,26;24,48;;;;;;;;;
0220;0220;Bisswall;0;6,82;7,18;;;;;;;;;
0228;0228;Bisswall bei Implantatversorgung;0;6,72;7,07;;;;;;;;;
0230;0230;Registrierplatte und -stift auf Basen;0;30,35;31,95;;;;;;;;;
0240;0240;Übertragungskappe Kunststoff / Metall;0;25,99;27,36;;;;;;;;;
0310;0310;Provisorische Krone / Brückenglied;0;34,75;36,58;;;;;;;;;
0320;0320;Formteil;0;18,82;19,81;;;;;;;;;
1013;1013;Wurzelstiftkappe;0;80,96;85,22;;;;;;;;;
1021;1021;Vollkrone / Metall;0;88,73;93,40;;;;;;;;;
1022;1022;Teilkrone / Metall;0;87,03;91,61;;;;;;;;;
1023;1023;Flügel für Adhäsivbrücke, je Flügel;0;85,21;89,69;;;;;;;;;
1024;1024;Krone für vestibuläre Verblendung;0;88,01;92,64;;;;;;;;;
1026;1026;Vollkrone / Metall bei Implantatversorgung;0;85,72;90,23;;;;;;;;;
1028;1028;Krone für vestibuläre Verblendung bei Implantatversorgung;0;85,00;89,47;;;;;;;;;
1031;1031;Vorbereiten Krone;0;14,54;15,30;;;;;;;;;
1032;1032;Krone/Brückenglied einarbeiten;0;14,54;15,30;;;;;;;;;
1033;1033;Stiftaufbau einarbeiten;0;14,54;15,30;;;;;;;;;
1040;1040;Modellation gießen;0;18,92;19,92;;;;;;;;;
1050;1050;Stiftaufbau;0;57,26;60,27;;;;;;;;;
1100;1100;Brückenglied;0;62,84;66,15;;;;;;;;;
1200;1200;Teleskopierende Krone;0;276,46;291,01;;;;;;;;;
1201;1201;Teleskopierende Primär- oder Sekundärkrone;0;180,94;190,46;;;;;;;;;
1331;1331;Individuelles Geschiebe;0;226,53;238,45;;;;;;;;;
1341;1341;Konfektions-Geschiebe;0;112,26;118,17;;;;;;;;;
1343;1343;Konfektions-Anker;0;112,26;118,17;;;;;;;;;
1347;1347;Primär-/Sekundär-Teil Konfektions-Anker;0;74,68;78,61;;;;;;;;;
1349;1349;Wiederbefestigen Sekundär-Teil;0;74,68;78,61;;;;;;;;;
