BEL_KNR;BEL_NR;LEIST_BEZ;KAS_ART;PL_EUR;GL_EUR
0010;0010;Modell;0;7,04;7,41
0018;0018;Modell bei Implantatversorgung;0;6,84;7,20
0021;0021;Doublieren;0;14,30;15,05
0022;0022;Platzhalter einfügen;0;14,48;15,24
0023;0023;Verwendung von Kunststoff;0;14,57;15,34
0024;0024;Galvanisieren;0;14,48;15,24
0030;0030;Set-up ;0;9,38;9,87
0051;0051;Stumpfmodell/Sägemodell;0;16,22;17,07
0052;0052;Stumpfmodell/Einzelstumpfmodell;0;16,22;17,07
0053;0053;Stumpfmodell/Modell nach Überabdruck;0;16,22;17,07
0054;0054;Stumpfmodell/Set-up Modell;0;10,83;11,40
0055;0055;Stumpfmodell/Fräsmodell;0;11,04;11,62
0060;0060;Zahnkranz;0;5,60;5,89
0070;0070;Zahnkranz sockeln;0;5,90;6,21
0111;0111;Modellpaar trimmen;0;10,28;10,82
0112;0112;Fixator;0;8,97;9,44
0120;0120;Mittelwertartikulator;0;10,34;10,88
0128;0128;Mittelwertartikulator bei Implantatversorg.;0;10,05;10,58
0130;0130;Modellpaar sockeln;0;22,92;24,13
0201;0201;Basis für Vorbissnahme;0;9,36;9,85
0202;0202;Basis für Konstruktionsbiss;0;7,83;8,24
0211;0211;Basis Autopolym./Individueller Löffel;0;23,53;24,77
0212;0212;Basis Autopolym./Funktionslöffel;0;23,53;24,77
0213;0213;Basis Autopolym./Bissregistrierung;0;23,53;24,77
0214;0214;Basis Autopolym./Stützstiftregistrierung;0;23,53;24,77
0215;0215;Basis Autopolym./Kunststoffbasis f. Aufstell.;0;23,53;24,77
0216;0216;Basis für Bissregistr. bei Implantatversorg.;0;23,37;24,60
0218;0218;Basis für Aufstellung bei Implantatversorg.;0;23,37;24,60
0220;0220;Bisswall;0;6,79;7,15
0228;0228;Bisswall bei Implantatversorgung;0;6,75;7,10
0230;0230;Registrierplatte und -stift auf Basen;0;30,26;31,85
0240;0240;Übertragungskappe Kunststoff/Metall;0;25,92;27,28
0310;0310;Provisorische Krone/Brückenglied;0;34,66;36,48
0320;0320;Formteil;0;18,78;19,77
1013;1013;Wurzelstiftkappe;0;80,74;84,99
1021;1021;Vollkrone, Metall;0;86,78;91,35
1022;1022;Teilkrone, Metall;0;86,78;91,35
1023;1023;Flügel für Adhäsivbrücke, je Flügel;0;84,97;89,44
1024;1024;Krone für vestibuläre Verblendung;0;88,01;92,64
1026;1026;Vollkrone/Metall bei Implantatversorgung;0;86,19;90,73
1028;1028;Krone für vestib.Verblendung bei Impl.vers.;0;85,49;89,99
1031;1031;Vorbereiten Krone/Brückenglied ;0;14,50;15,26
1032;1032;Krone/Brückenglied einarbeiten;0;14,50;15,26
1033;1033;Stiftaufbau einarbeiten;0;14,50;15,26
1040;1040;Modellation gießen;0;18,88;19,87
1050;1050;Stiftaufbau ;0;57,10;60,10
1100;1100;Brückenglied;0;62,11;65,38
1200;1200;Teleskopierende Krone;0;276,45;291,00
1201;1201;Teleskopierende Primär- o. Sekundärkrone;0;180,44;189,94
1331;1331;Individuelles Geschiebe- nur bei geteilter Br.;0;225,93;237,82
1341;1341;Konfektion. Geschiebe- nur bei geteilter Br.;0;111,96;117,85
1343;1343;Konfektionsanker;0;111,96;117,85
1347;1347;Primär-/Sekundär-Teil Konfektionsanker;0;74,49;78,41
1349;1349;Wiederbef. Sekundär-Teil;0;74,49;78,41
1360;1360;Gefrästes Lager;0;53,80;56,63
1370;1370;Schubverteilungsarm;0;40,35;42,47
1500;1500;Metallverbindung nach Brand;0;30,09;31,67
1550;1550;Konditionierung, je Zahn/Flügel;0;14,34;15,09
1600;1600;Vestibuläre Verblendung Kunststoff;0;49,13;51,72
1610;1610;Zahnfleisch Kunststoff;0;15,63;16,45
1620;1620;Vestibuläre Verblendung Keramik;0;100,93;106,24
1628;1628;Vestib. Verblendg. Keramik bei Impl.vers.;0;100,24;105,52
1630;1630;Zahnfleisch Keramik;0;36,07;37,97
1638;1638;Zahnfleisch Keramik bei Implantatvers.;0;35,82;37,71
1640;1640;Vestibuläre Verblendung Komposite;0;78,55;82,68
1650;1650;Zahnfleisch Komposite;0;20,83;21,93
2010;2010;Metallbasis;0;150,01;157,90
2021;2021;Einarmige gegossene Haltevorrichtung;0;12,58;13,24
2025;2025;Kralle;0;12,58;13,24
2026;2026;Ney-Stiel;0;12,58;13,24
2027;2027;Auflage;0;12,58;13,24
2028;2028;Umgehungsbügel bei Diastema;0;12,49;13,15
2031;2031;Zweiarmige gegossene Haltevorrichtung;0;23,01;24,22
2041;2041;Zweiarmige geg. Halte- u. Stützvorr./Auflage;0;31,08;32,72
2050;2050;Bonwillklammer;0;56,71;59,69
2081;2081;Rückenschutzplatte;0;41,05;43,21
2082;2082;Metallzahn, gegossen;0;41,05;43,21
2083;2083;Metallkaufläche, gegossen;0;41,05;43,21
2100;2100;Lösungshilfe;0;11,88;12,50
2110;2110;Unterfütterbarer Abschlussrand;0;18,94;19,94
2120;2120;Zuschlag  einzelne gegossene Klammer;0;19,70;20,74
3010;3010;Aufstellung Grundeinheit;0;31,60;33,26
3018;3018;Aufstellung Grundeinh. bei Implantatvers.;0;30,69;32,31
3020;3020;Aufstellen Wachs o. Kunststoff, je Zahn;0;1,84;1,94
3028;3028;Aufst. Wachs o. Kunstst., je Zahn b. Implant.;0;1,84;1,94
3030;3030;Aufstellen Metall, je Zahn;0;2,43;2,56
3410;3410;Übertragung, je Zahn;0;1,52;1,60
3610;3610;Fertigstellung Grundeinheit;0;53,05;55,84
3618;3618;Fertigst. Grundeinheit bei Implantatvers.;0;51,54;54,25
3620;3620;Fertigstellen, je Zahn;0;3,41;3,59
3628;3628;Fertigstellen, je Zahn bei Implantatvers.;0;3,33;3,51
3800;3800;Einfache gebog. Halte- und/oder Stützvorr.;0;10,24;10,78
3805;3805;Gebogene Auflage;0;10,24;10,78
3810;3810;Sonstige gebog. Halte- und/oder Stützvorr.;0;17,30;18,21
3821;3821;Weichkunststoff (ZE);0;55,66;58,59
3822;3822;Sonderkunststoff;0;55,66;58,59
3830;3830;Zahn zahnfarben hergestellt;0;23,49;24,73
3840;3840;Zahn zahnfarben hinterlegt;0;12,33;12,98
4010;4010;Aufbissbehelf mit adjustierter Oberfläche;0;65,59;69,04
4020;4020;Aufbissbehelf ohne adjustierte Oberfläche;0;54,11;56,96
4030;4030;Umarbeiten zum Aufbissbehelf;0;48,26;50,80
4040;4040;Semiperman. Schiene aus Metall, je Zahn;0;29,72;31,28
7010;7010;Basis Einzelkiefergerät;0;50,35;53,00
7020;7020;Basis bimaxilläres Gerät;0;87,89;92,52
7030;7030;Schiefe Ebene;0;41,11;43,27
7040;7040;Vorhofplatte;0;43,38;45,66
7050;7050;Kinnkappe;0;49,00;51,58
7100;7100;Aufbiss;0;9,22;9,70
7110;7110;Abschirmelement;0;19,92;20,97
7121;7121;Weichkunststoff (KFO);0;21,38;22,50
7122;7122;Sonderkunststoff (KFO);0;21,38;22,50
7200;7200;Schraube einarbeiten;0;15,28;16,08
7210;7210;Spezialschraube einarbeiten;0;25,48;26,82
7220;7220;Trennen einer Basis;0;6,73;7,08
7300;7300;Labialbogen;0;18,30;19,26
